ID,Date,Close_US,Open_US,High_US,Low_US,Volumn_US,Change_US,Open_SP,High_SP,Low_SP,Close_SP,Adj_Close_SP,Volumn_SP,Change_SP
147,1986/6/24,113.85,113.95,114.2,113.43,0.50K,-0.0016,245.25999500000003,248.25999500000003,244.52999900000003,247.02999900000003,247.02999900000003,"140,600,000",0.007216847574346562
148,1986/6/25,113.6,113.5,113.75,113.03,0.54K,-0.0022,247.02999900000003,250.13000499999998,247.02999900000003,248.92999300000002,248.92999300000002,"161,800,000",0.007691349259973855
149,1986/6/26,113.45,113.5,113.83,113.42,0.19K,-0.0013,248.92999300000002,249.42999300000002,247.72000099999997,248.74000499999997,248.74000499999997,"134,100,000",-0.0007632185969653582
150,1986/6/27,112.58,113.46,113.62,112.57,0.28K,-0.0077,248.74000499999997,249.74000499999997,248.74000499999997,249.600006,249.600006,"123,800,000",0.0034574293749010726
151,1986/6/30,112.05,112.25,112.63,111.98,0.86K,-0.0047,249.600006,251.809998,249.600006,250.83999599999999,250.83999599999999,"135,100,000",0.004967908534425186
152,1986/7/1,111.85,111.8,111.93,111.2,0.63K,-0.0018,250.669998,252.039993,250.52999900000003,252.039993,252.039993,"147,700,000",0.004783914125082448
153,1986/7/2,111.65,111.8,112.12,111.53,0.19K,-0.0018,252.039993,253.19999700000002,251.789993,252.69999700000002,252.69999700000002,"150,000,000",0.0026186479064059286
154,1986/7/7,112.35,111.0,112.4,110.95,1.05K,0.0063,251.789993,251.809998,243.63000499999998,244.05000299999998,244.05000299999998,"138,200,000",-0.030739863438496676
155,1986/7/8,111.8,111.1,112.01,110.75,0.74K,-0.0049,244.05000299999998,244.059998,239.07000699999998,241.58999599999999,241.58999599999999,"174,100,000",-0.010079930218234787
156,1986/7/9,111.38,112.17,112.27,111.3,0.60K,-0.0038,241.58999599999999,243.07000699999998,241.460007,242.82000699999998,242.82000699999998,"142,900,000",0.005091315950019679
157,1986/7/10,111.77,111.49,111.85,111.4,0.43K,0.0035,242.82000699999998,243.440002,239.66000400000001,243.00999500000003,243.00999500000003,"146,200,000",0.0007824231715801592
158,1986/7/11,112.75,112.1,112.78,111.75,0.28K,0.0088,243.00999500000003,243.479996,241.67999300000002,242.22000099999997,242.22000099999997,"124,500,000",-0.0032508704014419815
159,1986/7/14,111.86,112.53,112.8,111.6,0.59K,-0.0079,242.22000099999997,242.22000099999997,238.039993,238.11000099999998,238.11000099999998,"123,200,000",-0.016968045508347535
